id;pescador;estado;cidade;porto;dia;mes;ano;pescado;producao;embarcacao;comprimentoembarcacao;potenciamotor;tipo;ambiente;artepesca
9503;1;Paraíba;PB Teste 1;Porto PB 1;1;1;1985;1;4;Barco Motor de Centro;6;15;Pesqueiro;Meio do Rio;Malhadeira/Rede de Espera
9504;1;Paraíba;PB Teste 1;Porto PB 1;2;2;1986;1;4;Barco Motor de Centro;6.8;20;Pesqueiro;Meio do Rio;Tarrafa
9505;1;Paraíba;PB Teste 1;Porto PB 1;3;3;1987;1;2;Barco Motor de Centro;7.2;20;Pesqueiro;Meio do Rio;Caniço
9506;1;Paraíba;PB Teste 1;Porto PB 1;4;4;1988;1;1;Barco Motor de Centro;6.3;20;Pesqueiro;Meio do Rio;Caniço com Ceva
9507;1;Paraíba;PB Teste 1;Porto PB 1;5;5;1978;1;51;Barco Motor de Centro;6.1;20;Pesqueiro;Meio do Rio;Espinhel
9508;1;Paraíba;PB Teste 1;Porto PB 1;6;6;1979;1;8;Barco Motor de Centro;11;20;Pesqueiro;Beira Rio;Zagaia/Flecha/Arpão
9509;1;Paraíba;PB Teste 2;Porto PB 2;6;7;1990;1;2;Rabeta;10.2;15;Pesqueiro;Beira Rio;Rede de Arrasto
9510;1;Paraíba;PB Teste 2;Porto PB 3;7;8;1991;1;2;Rabeta;7;15;Pesqueiro;Beira Rio;Malhadeira/Rede de Espera
9511;1;Paraíba;PB Teste 2;Porto PB 3;8;9;1992;1;2;Rabeta;6.4;15;Pesqueiro;Beira Rio;Tarrafa
9512;1;Paraíba;PB Teste 2;Porto PB 3;9;10;1993;1;2;Rabeta;6.9;15;Pesqueiro;Beira Rio;Caniço
9513;1;Paraíba;PB Teste 2;Porto PB 3;9;11;1994;1;2;Rabeta;7.1;15;Pesqueiro;Beira Rio;Caniço com Ceva
9514;1;Paraíba;PB Teste 2;Porto PB 3;10;12;1995;1;10;Rabeta;7.3;30;Pesqueiro;Lago;Espinhel
23958;1;Rio de Janeiro;RJ Teste 1;Porto RJ 1;11;1;1970;2;1167;Canoa a Remo;12;30;Pesqueiro;Lago;Zagaia/Flecha/Arpão
23959;2;Rio de Janeiro;RJ Teste 1;Porto RJ 1;12;2;1972;2;1179;Voadeira;12.3;30;Rio;Lago;Rede de Arrasto
23960;2;Rio de Janeiro;RJ Teste 1;Porto RJ 1;13;3;1979;2;12;Voadeira;13.1;30;Rio;Lago;Malhadeira/Rede de Espera
23961;2;Rio de Janeiro;RJ Teste 1;Porto RJ 1;14;4;1980;2;13;Voadeira;13.2;45;Rio;Lago;Tarrafa
23962;2;Rio de Janeiro;RJ Teste 1;Porto RJ 1;15;5;1981;2;5;Voadeira;6;45;Rio;Igarapé;Caniço
23963;2;Rio de Janeiro;RJ Teste 1;Porto RJ 1;16;6;1982;2;2;Voadeira;6;45;Rio;Igarapé;Caniço com Ceva
23964;2;Rio de Janeiro;RJ Teste 1;Porto RJ 1;17;7;1983;2;7;Voadeira;6;45;Rio;Igarapé;Espinhel
23965;2;Rio de Janeiro;RJ Teste 1;Porto RJ 2;18;8;1986;2;9;Voadeira;6;45;Rio;Igarapé;Zagaia/Flecha/Arpão
23966;2;Rio de Janeiro;RJ Teste 1;Porto RJ 2;19;9;1987;2;3;Voadeira;6;45;Rio;Pedral;Rede de Arrasto
23967;2;Rio de Janeiro;RJ Teste 1;Porto RJ 2;20;10;1988;2;28;Voadeira;6;45;Rio;Pedral;Malhadeira/Rede de Espera
23968;2;Rio de Janeiro;RJ Teste 1;Porto RJ 2;21;11;1989;2;6;Voadeira;6.4;15;Rio;Pedral;Tarrafa
23969;2;Rio de Janeiro;RJ Teste 2;Porto RJ 2;22;12;1990;2;11;Voadeira;6.8;15;Rio;Pedral;Caniço
23970;2;Rio de Janeiro;RJ Teste 2;Porto RJ 2;23;1;1991;2;11;Barco Motor de Centro;7.4;15;Rio;Mangue;Caniço com Ceva
23971;2;Rio de Janeiro;RJ Teste 2;Porto RJ 2;24;2;1992;2;11;Barco Motor de Centro;7.9;20;Rio;Mangue;Espinhel
23972;2;Rio de Janeiro;RJ Teste 2;Porto RJ 2;25;3;1993;2;11;Barco Motor de Centro;12;15;Rio;Mangue;Zagaia/Flecha/Arpão
23973;2;Rio de Janeiro;RJ Teste 2;Porto RJ 2;26;4;1994;2;11;Barco Motor de Centro;10;15;Rio;Mangue;Rede de Arrasto
23974;2;Rio de Janeiro;RJ Teste 2;Porto RJ 2;27;5;1995;2;688;Barco Motor de Centro;11;21;Rio;Beira Rio;Malhadeira/Rede de Espera
23975;2;Rio de Janeiro;RJ Teste 2;Porto RJ 2;28;6;1996;2;8.5;Barco Motor de Centro;13;20;Rio;Beira Rio;Tarrafa
23976;2;Rio de Janeiro;RJ Teste 2;Porto RJ 3;29;7;1997;2;63;Barco Motor de Centro;12.7;34;Rio;Lago;Caniço
